,SPY buy-and-hold,60/40 SPY/AGG,Equal-weight universe,Momentum Top-5,Volatility-targeted SPY,Risk parity inverse-vol,Defensive basket buy-and-hold,Full Alpha Trinity rebuilt,Prediction-only MLP/RF,Crisis-only deterministic,Full Alpha Trinity rebuilt no-cost,Full Alpha Trinity no-leverage
2023-02-28,0.0,0.0017242435351335073,0.006854111629217181,0.4147717467953068,0.0001832187280441655,0.007749368719934813,0.0,0.00837650346219042,0.007141108759608743,0.00640766162275427,0.008375311380316443,0.00837650346219042
2023-03-01,0.0,0.000908066304739108,0.007997184423342366,0.40315045204707833,0.058239540288004044,0.019022170789714958,0.0,0.1009151377462684,0.04946581415859839,0.26683567611373693,0.10096618930573771,0.1009151377462684
2023-03-02,0.0,0.004728624319599417,0.006913366920337116,0.41260872891943234,0.0015869249762742177,0.01946719289164594,0.0,0.005438214301758366,0.005326906661570629,0.21867775440384407,0.005439358652163314,0.005438214301758366
2023-03-03,0.0,0.003911581471970682,0.007429237862205139,0.4198737895762298,0.005926310056936446,0.007896987662285825,0.0,0.01261021082534014,0.04298249866938295,0.010583825114806078,0.012609072769514638,0.01261021082534014
2023-03-06,0.0,0.001519580877823501,0.004824332586052048,0.404399097200978,0.004398821755617899,0.013005112851082032,0.0,0.0063014584617767586,0.007888274458799216,0.004104452952624666,0.006299706400316924,0.0063014584617767586
2023-03-07,0.0,0.006712168812596897,0.006886579774160906,0.3970546707120329,0.01614681703183596,0.010408383480512049,0.0,0.00998081036099916,0.006488810413065843,0.009531918417318142,0.009981580069487512,0.00998081036099916
2023-03-08,0.0,0.0012797302122929954,0.0063750411731563,0.01118912862758431,0.016506982161213934,0.019732828084976037,0.0,0.008245145547710523,0.01267501279857449,0.006654667524898895,0.008248211417702576,0.008245145547710523
2023-03-09,0.0,0.010592478136917938,0.009627238571622523,0.007294177656090389,0.005464312421358142,0.011433326220468932,0.0,0.008698917459937346,0.006636402372867976,0.008132529763632532,0.008698724062043509,0.008698917459937346
2023-03-10,0.0,0.01251764759139573,0.010976401622556801,0.3944163596981464,0.016635077713685442,0.015053618821623586,0.0,0.005062875957192304,0.005576131862274832,0.006108306938896127,0.005062263926866646,0.005062875957192304
2023-03-13,0.0,0.00450013811095068,0.010625915009797482,0.8117694456481765,0.0007781740737057286,0.02453929659909876,0.0,0.007977580649988983,0.010399020651324318,0.00718498529276442,0.0079774738046245,0.007977580649988983
2023-03-14,0.0,0.010752301197715919,0.01310472859704323,0.43291349465115003,0.0021403568393012495,0.01563468055933733,0.0,0.9751393246298993,0.012493491942255557,1.0910981335059722,0.9759194360896033,0.9751393246298993
2023-03-15,0.0,0.007786325343672906,0.01604940333814222,0.40248898773720826,0.014465246571756962,0.01539244287133344,0.0,0.0015374720838128852,0.022039562933437173,0.0015374720838128852,0.0015362421061457798,0.0015374720838128852
2023-03-16,0.0,0.010309508646398569,0.012459672350243693,0.4208236400257428,0.03356112104394571,0.021326046259034358,0.0,0.0011496865980429871,0.015185123196510124,0.0011496865980429871,0.0011499165353626162,0.0011496865980429871
2023-03-17,0.0,0.008620386100301802,0.012541863740358553,0.41947326916597527,0.008486426747351561,0.014187200377212265,0.0,0.012737405383819844,0.009982766615653928,0.012737405383819844,0.012739952864896598,0.012737405383819844
2023-03-20,0.0,0.006546711237161829,0.008342224331396406,0.011575931756810098,0.005465671911095149,0.0174105662539729,0.0,0.0024061415420946752,0.054373638559832814,0.0024061415420946752,0.0024066227704030996,0.0024061415420946752
2023-03-21,0.0,0.007757014954645869,0.011080885899494283,0.007845464467307744,0.0065773460526281635,0.018634161956100924,0.0,0.006653708870489439,0.05592653457380075,0.006653708870489439,0.0066523781287153305,0.006653708870489439
2023-03-22,0.0,0.0127953722503244,0.011302592100732464,0.0067114176860817165,0.004935270874266928,0.016671768845575488,0.0,0.009122410999425845,0.05452193414491376,0.2996748491662662,0.009124235481625775,0.009122410999425845
2023-03-23,0.0,0.00014298517233579666,0.010645346618439813,0.006838451787268607,0.006012346294451132,0.01080486041289525,0.0,0.003937788811134324,0.06205975802263396,0.006272251391870189,0.003938576368896496,0.003937788811134324
2023-03-24,0.0,0.0023340373717370966,0.008958813363379309,0.013269342030817532,0.0006457341427147378,0.008193046876921873,0.0,0.006492905700427487,0.05331905593975716,0.007119161517270333,0.006491607119287368,0.006492905700427487
2023-03-27,0.0,0.006074411926016932,0.009035197572875332,0.0038400776669872683,0.001079278173885867,0.022749463585862273,0.0,0.002048493370924054,0.06176007269573437,0.0025378713495722224,0.0020480836722498452,0.002048493370924054
2023-03-28,0.0,0.0003506615314415873,0.004821291530512396,0.001927953921407627,0.011380002170560566,0.013206341629855662,0.0,0.004378845323803449,0.008397698165088285,0.0039642856964618445,0.004379721092868216,0.004378845323803449
2023-03-29,0.0,0.006395838178057611,0.008208956292828952,0.0034020499029322193,0.017867391922776976,0.006738661098186816,0.0,0.0027921917653261352,0.006287497656700577,0.005267739836393698,0.00279163332697302,0.0027921917653261352
2023-03-30,0.0,0.0022779066816441262,0.005396616251546749,0.004602718964473479,0.012629987745836346,0.008931351538387394,0.0,0.2002733593468905,0.006663815681747439,0.1489040555781396,0.2001531953312824,0.2002733593468905
2023-03-31,0.0,0.004442820769037792,0.005715939439390388,0.0033528982441837496,0.0011542396149906153,0.011327003505115164,0.0,0.0026435462691277167,0.0038489116883180926,0.003872809863990627,0.0026435462691277167,0.0026435462691277167
2023-04-03,0.0,0.0002574150851130108,0.0063231223355410884,0.005465043177126483,0.008572269245933906,0.015320785233220302,0.0,0.16203126904095444,0.05278716414736302,0.003792568759415013,0.16196022352448097,0.16203126904095444
2023-04-04,0.0,0.004441220325257955,0.007285759743447445,0.0069577235378787405,0.01079545370353896,0.012131425117764223,0.0,0.1526485847067722,0.047405557690011806,0.006653608046972445,0.15260427740607072,0.1526485847067722
2023-04-05,0.0,0.0028850026228296466,0.00907754340304115,0.004317259529039025,0.03011576624732981,0.02063652277831813,0.0,0.13833666854709312,0.05875323281830884,0.0031227601150218866,0.13831538068774712,0.13833666854709312
2023-04-06,0.0,0.0023024565975773292,0.005905435842334203,0.40683134971603996,0.0010640097413786576,0.00969101207686535,0.0,0.005387804656251809,0.010186153674739401,0.0038652496485258488,0.005387526418703745,0.005387804656251809
2023-04-10,0.0,0.003790848822203985,0.005813813852116198,0.00815341652976892,0.002014451379072524,0.00668843785652444,0.0,0.10880036335222858,0.028231886686923988,0.004547931016491844,0.10879579767349225,0.10880036335222858
2023-04-11,0.0,0.00015956195016436636,0.005683189532866076,0.4048953865831093,0.010581504570532863,0.008853225040503983,0.0,0.10265378690792014,0.03633226672671787,0.003668580476222101,0.10265983845212102,0.10265378690792014
2023-04-12,0.0,0.0025332008869795586,0.00462398148808299,0.008023724501697416,0.0009216863662195873,0.009371579289270108,0.0,0.09324335042183379,0.03168404595732542,0.0038202052301969137,0.09325644003467426,0.09324335042183379
