Date,signal_crisis_score,signal_regime,return_regime_from_prior_signal,net_return_primary_full,gross_exposure_primary_full,turnover_primary_full
2025-02-03,0.13826362518710425,growth,growth,-0.0017350916716804,0.7131436465251629,0.007043908254705181
2025-02-04,0.13205294309099064,growth,growth,0.0029914037648144376,0.7131436465251629,0.0062172818220126505
2025-02-05,0.012092388949548886,growth,growth,0.007624485066462627,0.7131436465251629,0.007621535575001531
2025-02-06,0.007500129984922179,growth,growth,0.0025315276145927434,0.7131436465251629,0.005540285100570698
2025-02-07,0.02164465014908885,growth,growth,0.0005491127295360609,0.7131436465251629,0.003816777001012225
2025-02-10,0.010714819580929145,growth,growth,0.009388911116141596,0.7131436465251629,0.006315906026241061
2025-02-11,0.009708790446975209,growth,growth,-0.0011051875794899635,0.7131436465251629,0.0029757212724311993
2025-02-12,0.016255650713274766,growth,growth,-0.0006626915686385182,0.7131436465251629,0.002767339975195405
2025-02-13,4.373451013044056e-05,growth,growth,0.006339984736754456,0.7131436465251629,0.008089296841636364
2025-02-14,0.00010926857484554523,growth,growth,-0.003226955422866218,0.7131436465251629,0.008476025440424858
2025-02-18,0.0,growth,growth,0.0033343090404800435,0.7131436465251629,0.005362016773498262
2025-02-19,0.1,growth,growth,-0.00024258521924991339,0.7131436465251629,0.0014505789202756132
2025-02-20,0.10554728619332145,growth,growth,-0.001631750911109675,0.7131436465251629,0.0033223932730001983
2025-02-21,0.19004603549924126,growth,growth,-0.006158497174919342,0.7131436465251629,0.008067872849287965
2025-02-24,0.34470758389236456,growth,growth,-0.0029372188650023112,0.7131436465251629,0.00652488898555961
2025-02-25,0.3453966551223637,growth,growth,-0.007941744028417852,0.7131436465251629,0.0051280931801287
2025-02-26,0.340250476142718,growth,growth,0.006957039382668784,0.7131436465251629,0.007545246964141975
2025-02-27,0.49043804440234395,caution,growth,-0.01662309033109388,0.7131436465251629,0.016195320505460874
2025-02-28,0.28918150984714763,growth,growth,0.0058536586023076875,0.7131436465251629,0.008066610338338446
2025-03-03,0.44849651481058217,caution,caution,-0.010194499601144713,0.7131436465251629,0.014384557891483574
2025-03-04,0.4664600405797191,caution,growth,0.0012601010860966433,0.7131436465251629,0.00792980927000188
2025-03-05,0.43442798292788576,caution,caution,0.004132216432728875,0.7131436465251629,0.008634905429194022
2025-03-06,0.4655921834194341,caution,caution,-0.012055217106489158,0.7131436465251629,0.011499244304714941
2025-03-07,0.46266697212149877,caution,caution,0.003282646394559219,0.7131436465251629,0.00552976230193534
2025-03-10,0.5057799738174211,caution,caution,-0.014821736154622789,0.7131436465251629,0.013550447037433905
2025-03-11,0.492529988068536,caution,caution,0.00391539988882772,0.7131436465251629,0.006706220471640263
2025-03-12,0.4740630258302775,caution,caution,0.010351188764390784,0.7131436465251629,0.010050419377685957
2025-03-13,0.45880553221343756,caution,caution,0.0012148320803495594,0.7131436465251629,0.008211820593023519
