,Full Alpha Trinity rebuilt,Prediction-only MLP/RF,Crisis-only deterministic,Full Alpha Trinity rebuilt no-cost,Full Alpha Trinity no-leverage
2024-09-11,1.8087433621926818,1.767979088871283,1.3147372687277434,1.8448733882665587,1.8087433621926818
2024-09-12,1.820450023989543,1.789819716328269,1.3199874498767845,1.8568271706223336,1.820450023989543
2024-09-13,1.8275531319990317,1.7981988529352226,1.3233593220518847,1.8640807018443895,1.8275531319990317
2024-09-16,1.822032075571028,1.7905920495283734,1.3220569050779367,1.8584575074480354,1.822032075571028
2024-09-17,1.820331434493671,1.789907405663949,1.3211305309648849,1.8567298277766884,1.820331434493671
2024-09-18,1.8110986139591077,1.772663240649657,1.31849304572885,1.847321459261562,1.8110986139591077
2024-09-19,1.834177451698171,1.8301643914581545,1.3229497406505373,1.8708820285716226,1.834177451698171
2024-09-20,1.8317469302488143,1.8083480123446378,1.3286965207379484,1.8684185494757017,1.8317469302488143
2024-09-23,1.835399292589045,1.8162392675427148,1.330036047743668,1.8721461854977344,1.835399292589045
2024-09-24,1.8481640557684949,1.8397892212943887,1.3333365268088095,1.8851824239705246,1.8481640557684949
2024-09-25,1.8548193161519286,1.8561803433047042,1.3354929188280207,1.8919793675649594,1.8548193161519286
2024-09-26,1.861761545263846,1.8750770110124573,1.3356807421095542,1.8990702969456845,1.861761545263846
2024-09-27,1.8524883824619858,1.8583002753751403,1.3323551072235875,1.8896194546978409,1.8524883824619858
2024-09-30,1.850463746659771,1.85867756762648,1.3307192995460666,1.887561917897413,1.850463746659771
2024-10-01,1.847247767619173,1.8355155950761213,1.336605054366956,1.8842987062997212,1.847247767619173
2024-10-02,1.852852829485994,1.8447595362807694,1.3383853783441384,1.890022807455368,1.852852829485994
2024-10-03,1.860506922091758,1.8680211829325104,1.3393774791685926,1.8978411029943008,1.860506922091758
2024-10-04,1.8672027588541489,1.8877166192973764,1.3408274173490198,1.904679493758412,1.8672027588541489
2024-10-07,1.8654428571918835,1.8807762949020994,1.339743668425885,1.9028950985650244,1.8654428571918835
2024-10-08,1.872604489588412,1.912521786971894,1.3367777582986777,1.9102157007474299,1.872604489588412
2024-10-09,1.8755890361299103,1.9221178534520182,1.336406795153015,1.9132694504957461,1.8755890361299103
2024-10-10,1.8786067055732536,1.919629107064835,1.3392085220492826,1.9163575338523127,1.8786067055732536
2024-10-11,1.88649051517457,1.9295544632245076,1.3438679303188517,1.9244068328167618,1.88649051517457
2024-10-14,1.8973428946503852,1.9588372955602669,1.3444676175273504,1.9354898474043458,1.8973428946503852
2024-10-15,1.867823857454932,1.864087476294588,1.3461443719530928,1.9054202082087606,1.867823857454932
2024-10-16,1.8682089778347244,1.848318089053273,1.3492793553045548,1.9058324149429111,1.8682089778347244
2024-10-17,1.876673814768621,1.8625381376942958,1.3529572020278418,1.9144737372518217,1.876673814768621
2024-10-18,1.8863185787014443,1.8794678019040758,1.3561461208979708,1.9243230194397354,1.8863185787014443
2024-10-21,1.8931821819418773,1.8937226838587589,1.357885133304626,1.9313380854144067,1.8931821819418773
2024-10-22,1.8998733473861398,1.9032612509313032,1.3626946287614894,1.9381715712350194,1.8998733473861398
2024-10-23,1.8856526818773112,1.8665366724338763,1.3591624641624185,1.9236780145830052,1.8856526818773112
2024-10-24,1.889774765433052,1.874027616427754,1.3607633943445925,1.9278896381071444,1.889774765433052
2024-10-25,1.8942350529323593,1.8829379294955229,1.363001212921556,1.93244318237286,1.8942350529323593
2024-10-28,1.8933474381373798,1.8819857056247582,1.3630173295748265,1.9315411512541276,1.8933474381373798
2024-10-29,1.9026843037045602,1.9018865369936953,1.3676076370315655,1.941074272787442,1.9026843037045602
2024-10-30,1.8955038650917762,1.8767011989476208,1.3688828001582234,1.9337615084485869,1.8955038650917762
2024-10-31,1.8718682364836552,1.822178033892366,1.3622323315779636,1.9096652918605912,1.8718682364836552
2024-11-01,1.8760711663515652,1.8337035661061007,1.3622319269911953,1.91396088718849,1.8760711663515652
2024-11-04,1.8747120294373323,1.8285245832305945,1.3612793038193385,1.9125792976959957,1.8747120294373323
2024-11-05,1.8834291862975774,1.8564755176100833,1.360519695566619,1.921484051770054,1.8834291862975774
2024-11-06,1.8851796476059366,1.8732480327070098,1.354692630922727,1.9233051549701117,1.8851796476059366
2024-11-07,1.8990862195338063,1.9105852886545147,1.3579167779060637,1.9375106045392956,1.8990862195338063
2024-11-08,1.895983555605699,1.900914155431657,1.3579323818149307,1.9343549512810005,1.895983555605699
2024-11-11,1.8850960611018173,1.8891203823847222,1.3507046310869377,1.9232640793453735,1.8850960611018173
2024-11-12,1.8858533233766683,1.898715567521005,1.348976094346236,1.924047831284344,1.8858533233766683
2024-11-13,1.8814759643273622,1.8908961743281913,1.3471970101103647,1.9195926528777976,1.8814759643273622
2024-11-14,1.8847968776080064,1.8999443571112495,1.3477570089532804,1.9229896194615033,1.8847968776080064
2024-11-15,1.8671062873819555,1.8451669691036823,1.3466372287806403,1.9049600436144645,1.8671062873819555
2024-11-18,1.872734930491794,1.8443287584595216,1.3522969677106722,1.9107172778369108,1.872734930491794
2024-11-19,1.886001854079083,1.8723116963354949,1.3557923190396703,1.9242672303291066,1.886001854079083
